vertices;arcprob;maxcapacity;dimic_capacity;dimic_time;capacity_mpm;mpm_time;ek_capacity;ek_time
800;10;40;1510;0.00794647;1510;0.0313412;1510;0.132274
800;10;80;2639;0.0117486;2639;0.0418256;2639;0.160537
800;10;160;5369;0.01032;5369;0.0397802;5369;0.243581
800;10;320;10527;0.00897446;10527;0.0267829;10527;0.161307
800;20;5;441;0.0234782;441;0.0324041;441;0.165724
800;20;10;885;0.0397387;885;0.0574448;885;0.317324
800;20;20;1379;0.0221748;1379;0.0281046;1379;0.254561
800;20;40;3071;0.0266582;3071;0.0487271;3071;0.315416
800;20;80;5926;0.0173136;5926;0.0268809;5926;0.214398
800;20;160;12878;0.0516993;12878;0.0989277;12878;1.39706
800;20;320;26273;0.0474855;26273;0.0660653;26273;0.932868
800;40;5;910;0.0190504;910;0.0638058;910;0.992002
800;40;10;1566;0.0225315;1566;0.070539;1566;0.938674
800;40;20;3160;0.0427673;3160;0.0894314;3160;1.31749
800;40;40;6297;0.0281092;6297;0.0689098;6297;1.80698
800;40;80;11698;0.0268018;11698;0.0619287;11698;1.6043
800;40;160;25200;0.0268067;25200;0.0838081;25200;1.11691
800;40;320;50917;0.0874831;50917;0.15115;50917;3.07889
800;80;5;1968;0.0349697;1968;0.156404;1968;5.65435
800;80;10;3463;0.0389032;3463;0.184119;3463;6.57479
800;80;20;6673;0.038354;6673;0.182963;6673;8.12513
800;80;40;12864;0.0558733;12864;0.193623;12864;8.73646
800;80;80;25325;0.0285877;25325;0.13852;25325;8.95461
800;80;160;49448;0.0291267;49448;0.132995;49448;8.81486
800;80;320;98735;0.0259594;98735;0.152146;98735;7.92876
1600;10;5;373;0.0609684;373;0.11191;373;0.85792
1600;10;10;771;0.062614;771;0.132579;771;0.775997
1600;10;20;1348;0.0840808;1348;0.22116;1348;1.23712
1600;10;40;3047;0.0548007;3047;0.132916;3047;1.19182
1600;10;80;5434;0.0696454;5434;0.144207;5434;1.46415
1600;10;160;11138;0.0926626;11138;0.229737;11138;2.77685
1600;10;320;24043;0.0962318;24043;0.187177;24043;2.8353
1600;20;5;897;0.126702;897;0.284852;897;1.67351
1600;20;10;1586;0.0403539;1586;0.149183;1586;1.4213
1600;20;20;3005;0.198833;3005;0.32406;3005;3.65952
1600;20;40;5999;0.187391;5999;0.252003;5999;5.91304
1600;20;80;11392;0.117442;11392;0.21278;11392;2.61708
1600;20;160;23450;0.227234;23450;0.346932;23450;7.74706
1600;20;320;51050;0.231648;51050;0.360831;51050;8.9404
1600;40;5;1955;0.0864661;1955;0.294527;1955;10.8792
1600;40;10;3421;0.106786;3421;0.427501;3421;11.2351
1600;40;20;6409;0.0918316;6409;0.467664;6409;12.2636
1600;40;40;13138;0.103188;13138;0.444391;13138;14.7448
1600;40;80;25185;0.304486;25185;0.616724;25185;19.6412
1600;40;160;50687;0.185726;50687;0.425683;50687;19.0437
1600;40;320;101297;0.181878;101297;0.572989;101297;20.4297
1600;80;5;3686;0.112803;3686;0.851007;3686;47.3887
1600;80;10;7035;0.194643;7035;1.2248;7035;57.281
1600;80;20;12846;0.148129;12846;1.28229;12846;63.3494
1600;80;40;25887;0.124112;25887;1.3039;25887;75.4147
1600;80;80;49865;0.0831048;49865;1.34869;49865;67.2497
1600;80;160;98922;0.141256;98922;1.62435;98922;69.2172
1600;80;320;202681;0.163041;202681;1.77368;202681;67.5485
